"Tile.Size","Match.Score","Prev.Length","Prev.Type","Browse.Time"
0.1,80,120,"TT",19.78554904451
0.3,80,100,"TT",17.3333103001924
0.1,100,100,"TT",18.6055651028029
0.3,100,120,"TT",19.9933361538834
0.1,80,120,"TT",19.3574530026818
0.3,80,100,"TT",16.4416316149634
0.1,100,100,"TT",17.6109608784243
0.3,100,120,"TT",21.2445664391991
0.1,80,120,"TT",17.9354311908687
0.3,80,100,"TT",17.223152820551
0.1,100,100,"TT",18.2071906624177
0.3,100,120,"TT",22.0559801744227
0.1,80,120,"TT",22.015128655502
0.3,80,100,"TT",16.1259023214695
0.1,100,100,"TT",20.929853633178
0.3,100,120,"TT",21.0738179695078
0.1,80,120,"TT",20.0921029855894
0.3,80,100,"TT",15.7636055500126
0.1,100,100,"TT",18.9997430026937
0.3,100,120,"TT",19.5306267753694
0.1,80,120,"TT",18.1139640783824
0.3,80,100,"TT",16.4168178564163
0.1,100,100,"TT",19.0059709949168
0.3,100,120,"TT",21.236476211001
0.1,80,120,"TT",17.9003173814632
0.3,80,100,"TT",16.7659968275155
0.1,100,100,"TT",20.8863739247314
0.3,100,120,"TT",20.1613621647988
0.1,80,120,"TT",20.1899315216009
0.3,80,100,"TT",16.2084005124947
0.1,100,100,"TT",17.9405850110018
0.3,100,120,"TT",19.6602407246468
0.1,80,120,"TT",18.4433208441028
0.3,80,100,"TT",15.6866900440531
0.1,100,100,"TT",18.4931914503409
0.3,100,120,"TT",19.4961632134297
0.1,80,120,"TT",18.9877422391013
0.3,80,100,"TT",17.0098851341228
0.1,100,100,"TT",19.2846809753518
0.3,100,120,"TT",19.5801233876286
0.1,80,120,"TT",19.7625304345302
0.3,80,100,"TT",15.1021366331461
0.1,100,100,"TT",19.4491368373469
0.3,100,120,"TT",19.3976790991456
0.1,80,120,"TT",20.072175009764
0.3,80,100,"TT",16.2767290429944
0.1,100,100,"TT",20.1357263703585
0.3,100,120,"TT",20.4065767728671
0.1,80,120,"TT",18.8381040188589
0.3,80,100,"TT",17.9645549577349
0.1,100,100,"TT",19.7215159649835
0.3,100,120,"TT",21.0691445561965
0.1,80,120,"TT",19.6831129177624
0.3,80,100,"TT",16.4760842275752
0.1,100,100,"TT",19.1324193818595
0.3,100,120,"TT",19.5876047005741
0.1,80,120,"TT",19.5722755273644
0.3,80,100,"TT",13.2905916303998
0.1,100,100,"TT",20.0102929913641
0.3,100,120,"TT",19.6226610712347
0.1,80,120,"TT",17.6526002135864
0.3,80,100,"TT",18.0783256909543
0.1,100,100,"TT",19.5092272610115
0.3,100,120,"TT",18.6908908776394
0.1,80,120,"TT",19.072433640846
0.3,80,100,"TT",17.1298022690855
0.1,100,100,"TT",17.8267224418487
0.3,100,120,"TT",17.6988839653124
0.1,80,120,"TT",18.9085949807233
0.3,80,100,"TT",16.1651341768157
0.1,100,100,"TT",20.0064669964
0.3,100,120,"TT",19.3124990127178
0.1,80,120,"TT",18.914446839302
0.3,80,100,"TT",15.7241000655592
0.1,100,100,"TT",21.0375225918093
0.3,100,120,"TT",19.4932159703395
0.1,80,120,"TT",19.5051545250252
0.3,80,100,"TT",15.5217858766021
0.1,100,100,"TT",21.0562668567024
0.3,100,120,"TT",18.4161409168643
0.1,80,120,"TT",20.8703082545589
0.3,80,100,"TT",15.261749731059
0.1,100,100,"TT",18.0815398556837
0.3,100,120,"TT",21.385733096164
0.1,80,120,"TT",20.7074888321025
0.3,80,100,"TT",15.9303841269224
0.1,100,100,"TT",19.1262591595739
0.3,100,120,"TT",19.8418182818907
0.1,80,120,"TT",20.0546057782974
0.3,80,100,"TT",15.3587509891595
0.1,100,100,"TT",20.1641083203579
0.3,100,120,"TT",19.500388043685
0.1,80,120,"TT",20.0663613558571
0.3,80,100,"TT",15.2281439868437
0.1,100,100,"TT",18.7022084711851
0.3,100,120,"TT",19.7194948991571
0.1,80,120,"TT",19.5518384748614
0.3,80,100,"TT",16.3055872256196
0.1,100,100,"TT",18.2521130876456
0.3,100,120,"TT",19.5747100453315
0.1,80,120,"TT",18.2607744759198
0.3,80,100,"TT",16.3012740473494
0.1,100,100,"TT",19.8102283909514
0.3,100,120,"TT",19.8532501954981
0.1,80,120,"TT",19.3811957928707
0.3,80,100,"TT",15.9798871605109
0.1,100,100,"TT",18.5246809750994
0.3,100,120,"TT",18.6827038672
0.1,80,120,"TT",18.4772324100698
0.3,80,100,"TT",14.4270287331418
0.1,100,100,"TT",19.9182437682178
0.3,100,120,"TT",21.1537942602229
0.1,80,120,"TT",17.9957941291519
0.3,80,100,"TT",15.7410032769783
0.1,100,100,"TT",19.2269260237473
0.3,100,120,"TT",18.8999283917148
0.1,80,120,"TT",19.3872482970265
0.3,80,100,"TT",14.9798289052633
0.1,100,100,"TT",20.4417725848744
0.3,100,120,"TT",20.0292307174891
0.1,80,120,"TT",18.2055998680639
0.3,80,100,"TT",16.4115986946837
0.1,100,100,"TT",20.7685097529672
0.3,100,120,"TT",19.7438971407183
0.1,80,120,"TT",20.1439942658369
0.3,80,100,"TT",14.6819571226192
0.1,100,100,"TT",19.5031505150144
0.3,100,120,"TT",20.067727712394
0.1,80,120,"TT",19.2607227006125
0.3,80,100,"TT",15.5235429348651
0.1,100,100,"TT",18.3774520169117
0.3,100,120,"TT",19.188102549308
0.1,80,120,"TT",18.2165533558159
0.3,80,100,"TT",15.8195637560715
0.1,100,100,"TT",19.5916153775912
0.3,100,120,"TT",20.1948458794697
0.1,80,120,"TT",17.81499616379
0.3,80,100,"TT",13.9388909311491
0.1,100,100,"TT",18.578207998526
0.3,100,120,"TT",19.0515907496459
0.1,80,120,"TT",20.4357405164265
0.3,80,100,"TT",17.5728630035265
0.1,100,100,"TT",19.4527064095027
0.3,100,120,"TT",19.6320633884367
0.1,80,120,"TT",19.42622766099
0.3,80,100,"TT",15.5658395457338
0.1,100,100,"TT",18.6171391692804
0.3,100,120,"TT",19.5707179306443
0.1,80,120,"TT",19.4341730268528
0.3,80,100,"TT",17.0909538951977
0.1,100,100,"TT",19.3835051985872
0.3,100,120,"TT",20.0155480134189
0.1,80,120,"TT",21.2581881597852
0.3,80,100,"TT",16.0782133256245
0.1,100,100,"TT",18.3271460000178
0.3,100,120,"TT",19.9540371543039
0.1,80,120,"TT",18.2685251528703
0.3,80,100,"TT",16.2506949541549
0.1,100,100,"TT",20.4569639284092
0.3,100,120,"TT",20.0952662331747
0.1,80,120,"TT",18.7027889064375
0.3,80,100,"TT",16.0805560615956
0.1,100,100,"TT",20.8397052121548
0.3,100,120,"TT",20.6118111604362
0.1,80,120,"TT",18.2508438748202
0.3,80,100,"TT",17.2330782582222
0.1,100,100,"TT",19.6498402204234
0.3,100,120,"TT",20.0647734929816
0.1,80,120,"TT",19.2691888122005
0.3,80,100,"TT",16.3424352344494
0.1,100,100,"TT",18.9842205566796
0.3,100,120,"TT",19.6624864028163
0.1,80,120,"TT",18.9278709992713
