"Tile.Size","Match.Score","Prev.Length","Prev.Type","Browse.Time"
0.396,66,80,"TT",11.7538173441815
0.396,66,80,"TT",9.63545674747764
0.396,66,80,"TT",11.5287914571506
0.396,66,80,"TT",11.7901368767097
0.396,66,80,"TT",10.643255980689
0.396,66,80,"TT",11.1852832374943
0.396,66,80,"TT",10.2965309470134
0.396,66,80,"TT",11.1815260855529
0.396,66,80,"TT",12.490957113792
0.396,66,80,"TT",12.4638564836742
0.396,66,80,"TT",11.0950093580309
0.396,66,80,"TT",10.1092687929616
0.396,66,80,"TT",11.2162765599032
0.396,66,80,"TT",11.8242339684286
0.396,66,80,"TT",8.27191208447249
0.396,66,80,"TT",10.9705882743553
0.396,66,80,"TT",11.6915531471792
0.396,66,80,"TT",12.2099109266088
0.396,66,80,"TT",10.0073325096002
0.396,66,80,"TT",12.3062556860436
0.396,66,80,"TT",11.4237352627707
0.396,66,80,"TT",10.6963431059605
0.396,66,80,"TT",11.8302798855418
0.396,66,80,"TT",11.4666064538218
0.396,66,80,"TT",11.5310649376845
0.396,66,80,"TT",11.1821421033694
0.396,66,80,"TT",10.6958185728451
0.396,66,80,"TT",11.6875230286285
0.396,66,80,"TT",10.1750364641497
0.396,66,80,"TT",10.8017073263385
0.396,66,80,"TT",9.37540357654037
0.396,66,80,"TT",10.9619662500705
0.396,66,80,"TT",10.0926904910158
0.396,66,80,"TT",10.2947930864255
0.396,66,80,"TT",10.0463874679233
0.396,66,80,"TT",10.3904179104852
0.396,66,80,"TT",13.171808367222
0.396,66,80,"TT",10.5250121703407
0.396,66,80,"TT",11.2038617323104
0.396,66,80,"TT",10.3216617598524
0.396,66,80,"TT",9.85189273814751
0.396,66,80,"TT",11.9398533534201
0.396,66,80,"TT",12.2501285361096
0.396,66,80,"TT",11.3717396296088
0.396,66,80,"TT",10.3069005741202
0.396,66,80,"TT",10.6032253639254
0.396,66,80,"TT",10.2572226743791
0.396,66,80,"TT",9.92482116846935
0.396,66,80,"TT",10.1187147702291
0.396,66,80,"TT",11.7944024566696
0.396,66,80,"TT",10.241788751511
0.396,66,80,"TT",10.5286370174015
0.396,66,80,"TT",10.3350767855978
0.396,66,80,"TT",9.8861717816011
0.396,66,80,"TT",10.5346327615683
0.396,66,80,"TT",9.68560771877287
0.396,66,80,"TT",11.9763214298629
0.396,66,80,"TT",11.7865731563078
0.396,66,80,"TT",11.9434442440504
0.396,66,80,"TT",11.1494143086496
0.396,66,80,"TT",11.0808758546882
0.396,66,80,"TT",11.7058470646725
0.396,66,80,"TT",11.4956498381501
0.396,66,80,"TT",11.3745547700931
0.396,66,80,"TT",10.8104446978573
0.396,66,80,"TT",10.4833451323265
0.396,66,80,"TT",10.0813112085573
0.396,66,80,"TT",11.1283936656958
0.396,66,80,"TT",10.6186309579378
0.396,66,80,"TT",11.6254714623377
0.396,66,80,"TT",11.6833405526348
0.396,66,80,"TT",10.7622879975589
0.396,66,80,"TT",10.4546519928952
0.396,66,80,"TT",10.5693375069624
0.396,66,80,"TT",11.4704604940052
0.396,66,80,"TT",11.6964910300523
0.396,66,80,"TT",11.8222122835075
0.396,66,80,"TT",11.7339176305281
0.396,66,80,"TT",9.79718956316612
0.396,66,80,"TT",9.22475961621603
0.396,66,80,"TT",10.1137913227153
0.396,66,80,"TT",11.1541416236612
0.396,66,80,"TT",8.99768246199218
0.396,66,80,"TT",8.71574482114415
0.396,66,80,"TT",11.4244820931323
0.396,66,80,"TT",10.4978313047667
0.396,66,80,"TT",10.9685094724313
0.396,66,80,"TT",11.9970570247223
0.396,66,80,"TT",10.8887764958553
0.396,66,80,"TT",9.50466000410266
0.396,66,80,"TT",11.6781319834459
0.396,66,80,"TT",11.7885922443542
0.396,66,80,"TT",10.8323839877803
0.396,66,80,"TT",9.71290201871488
0.396,66,80,"TT",10.4024528376961
0.396,66,80,"TT",12.472720979263
0.396,66,80,"TT",11.423819019931
0.396,66,80,"TT",10.3223016417852
0.396,66,80,"TT",10.4113900887513
0.396,66,80,"TT",10.2242226072477
